time_s,I2_A
1.31543868623e-12,2.63
2.63020105437e-12,3.94
3.94496342251e-12,5.25
5.25972579066e-12,6.57
6.5744881588e-12,7.88
7.88925052694e-12,9.2
9.20401289508e-12,1.05
1.05187752632e-11,1.18
1.18335376314e-11,1.31
1.31482999995e-11,1.44
1.44630623676e-11,1.57
1.57778247358e-11,1.7
1.70925871039e-11,1.84
1.84073494721e-11,1.97
1.97221118402e-11,2.1
2.10368742084e-11,2.23
2.23516365765e-11,2.36
2.36663989446e-11,2.49
2.49811613128e-11,2.62
2.62959236809e-11,2.76
2.76106860491e-11,2.89
2.89254484172e-11,3.02
3.02402107853e-11,3.15
3.15549731535e-11,3.28
3.28697355216e-11,3.41
3.41844978898e-11,3.54
3.54992602579e-11,3.68
3.68140226261e-11,3.81
3.81287849942e-11,3.94
3.94435473623e-11,4.07
4.07583097305e-11,4.2
4.20730720986e-11,4.33
4.33878344668e-11,4.47
4.47025968349e-11,4.6
4.6017359203e-11,4.73
4.73321215712e-11,4.86
4.86468839393e-11,4.99
4.99616463075e-11,5.12
5.12764086756e-11,5.25
5.25911710437e-11,5.39
5.39059334119e-11,5.52
5.522069578e-11,5.65
5.65354581482e-11,5.78
5.78502205163e-11,5.91
5.91649828845e-11,6.04
6.04797452526e-11,6.17
6.17945076207e-11,6.31
6.31092699889e-11,6.44
6.4424032357e-11,6.57
6.57387947252e-11,6.7
6.70535570933e-11,6.83
6.83683194614e-11,6.96
6.96830818296e-11,7.09
7.09978441977e-11,7.23
7.23126065659e-11,7.36
7.3627368934e-11,7.49
7.49421313022e-11,7.62
7.62568936703e-11,7.75
7.75716560384e-11,7.88
7.88864184066e-11,8.02
8.02011807747e-11,8.15
8.15159431429e-11,8.28
8.2830705511e-11,8.41
8.41454678791e-11,8.54
8.54602302473e-11,8.67
8.67749926154e-11,8.8
8.80897549836e-11,8.94
8.94045173517e-11,9.07
9.07192797199e-11,9.2
9.2034042088e-11,9.33
9.33488044561e-11,9.46
9.46635668243e-11,9.59
9.59783291924e-11,9.72
9.72930915606e-11,9.86
9.86078539287e-11,9.99
9.99226162968e-11,1.01
1.01237378665e-10,1.02
1.02552141033e-10,1.03
1.03866903401e-10,1.05
1.05181665769e-10,1.06
1.06496428138e-10,1.07
1.07811190506e-10,1.09
1.09125952874e-10,1.1
1.10440715242e-10,1.11
1.1175547761e-10,1.13
1.13070239978e-10,1.14
1.14385002346e-10,1.15
1.15699764715e-10,1.17
1.17014527083e-10,1.18
1.18329289451e-10,1.19
1.19644051819e-10,1.2
1.20958814187e-10,1.22
1.22273576555e-10,1.23
1.23588338923e-10,1.24
1.24903101292e-10,1.26
1.2621786366e-10,1.27
1.27532626028e-10,1.28
1.28847388396e-10,1.3
1.30162150764e-10,1.31
1.31476913132e-10,1.32
1.327916755e-10,1.34
1.34106437869e-10,1.35
1.35421200237e-10,1.36
1.36735962605e-10,1.38
1.38050724973e-10,1.39
1.39365487341e-10,1.4
1.40680249709e-10,1.41
1.41995012077e-10,1.43
1.43309774446e-10,1.44
1.44624536814e-10,1.45
1.45939299182e-10,1.47
1.4725406155e-10,1.48
1.48568823918e-10,1.49
1.49883586286e-10,1.51
1.51198348654e-10,1.52
1.52513111022e-10,1.53
1.53827873391e-10,1.55
1.55142635759e-10,1.56
1.56457398127e-10,1.57
1.57772160495e-10,1.59
1.59086922863e-10,1.6
1.60401685231e-10,1.61
1.61716447599e-10,1.63
1.63031209968e-10,1.64
1.64345972336e-10,1.65
1.65660734704e-10,1.66
1.66975497072e-10,1.68
1.6829025944e-10,1.69
1.69605021808e-10,1.7
1.70919784176e-10,1.72
1.72234546545e-10,1.73
1.73549308913e-10,1.74
1.74864071281e-10,1.76
1.76178833649e-10,1.77
1.77493596017e-10,1.78
1.78808358385e-10,1.8
1.80123120753e-10,1.81
1.81437883122e-10,1.82
1.8275264549e-10,1.84
1.84067407858e-10,1.85
1.85382170226e-10,1.86
1.86696932594e-10,1.88
1.88011694962e-10,1.89
1.8932645733e-10,1.9
1.90641219699e-10,1.91
1.91955982067e-10,1.93
1.93270744435e-10,1.94
1.94585506803e-10,1.95
1.95900269171e-10,1.97
1.97215031539e-10,1.98
1.98529793907e-10,1.99
1.99844556276e-10,2.01
2.01159318644e-10,2.02
2.02474081012e-10,2.03
2.0378884338e-10,2.05
2.05103605748e-10,2.06
2.06418368116e-10,2.07
2.07733130484e-10,2.09
2.09047892853e-10,2.1
2.10362655221e-10,2.11
2.11677417589e-10,2.12
2.12992179957e-10,2.14
2.14306942325e-10,2.15
2.15621704693e-10,2.16
2.16936467061e-10,2.18
2.1825122943e-10,2.19
2.19565991798e-10,2.2
2.20880754166e-10,2.22
2.22195516534e-10,2.23
2.23510278902e-10,2.24
2.2482504127e-10,2.26
2.26139803638e-10,2.27
2.27454566007e-10,2.28
2.28769328375e-10,2.3
2.30084090743e-10,2.31
2.31398853111e-10,2.32
2.32713615479e-10,2.34
2.34028377847e-10,2.35
2.35343140215e-10,2.36
2.36657902584e-10,2.37
2.37972664952e-10,2.39
2.3928742732e-10,2.4
2.40602189688e-10,2.41
2.41916952056e-10,2.43
2.43231714424e-10,2.44
2.44546476792e-10,2.45
2.45861239161e-10,2.47
2.47176001529e-10,2.48
2.48490763897e-10,2.49
2.49805526265e-10,2.51
2.51120288633e-10,2.52
2.52435051001e-10,2.53
2.53749813369e-10,2.55
2.55064575738e-10,2.56
2.56379338106e-10,2.57
2.57694100474e-10,2.59
2.59008862842e-10,2.6
2.6032362521e-10,2.61
2.61638387578e-10,2.62
2.62953149946e-10,2.64
2.64267912315e-10,2.65
2.65582674683e-10,2.66
2.66897437051e-10,2.68
2.68212199419e-10,2.69
2.69526961787e-10,2.7
2.70841724155e-10,2.72
2.72156486523e-10,2.73
2.73471248892e-10,2.74
2.7478601126e-10,2.76
2.76100773628e-10,2.77
2.77415535996e-10,2.78
2.78730298364e-10,2.8
2.80045060732e-10,2.81
2.813598231e-10,2.82
