frequency_GHz,S11_dB,S21_convention_A_dB,S21_convention_B_dB
1.0,-0.00015400215404818727,19.09928014230993,17.877907315626587
1.1,-0.00012465404476981758,17.3025832430602,15.812431462626222
1.2,-9.857256443187811e-05,15.762946744000988,13.992499243669325
1.3,-7.562365071993578e-05,14.608523351314073,12.641932966613425
1.4,-5.554610067852231e-05,13.923258410979981,11.944066940926943
1.5,-3.803510534779113e-05,13.684788540793125,11.874628037448655
1.6,-2.278565218338925e-05,13.778085262958237,12.221898198726837
1.7,-9.513390220269802e-06,14.067065529041919,12.76118173771316
1.8,2.0368517365100957e-06,14.4466686548234,13.34954508670098
1.9,1.208908064828174e-05,14.852653488913493,13.918166879377807
2.0,2.0837423068713062e-05,15.251229072591707,14.440611351736553
2.1,2.8448877322921216e-05,15.626885284771232,14.910467379818384
2.2,3.5066568401064605e-05,15.973944840543945,15.32972331141546
2.3,4.081300994513275e-05,16.291647781904455,15.703383343491167
2.4,4.579313847324164e-05,16.581507626557848,16.037125163608092
2.5,5.0097026825228065e-05,16.845948234037635,16.336347110964297
2.6,5.380225844998702e-05,17.08762402616293,16.605830713850004
2.7,5.697598108521026e-05,17.30909549325133,16.84966713616081
2.8,5.9676674691915444e-05,17.512686308955104,17.071289817116842
2.9,6.195567343178622e-05,17.700431389622434,17.27354333889651
3.0,6.385848079105985e-05,17.874068836827462,17.458758295861546
3.1,6.54259126353231e-05,18.03505147135523,17.62881994050884
3.2,6.669509728152443e-05,18.184565587256728,17.78522648898444
3.3,6.770035418590321e-05,18.32355084936346,17.929136571591417
3.4,6.847396355388663e-05,18.452718652000833,18.061406905103155
3.5,6.904682755567407e-05,18.572568191476872,18.182622030532023
3.6,6.944900792547356e-05,18.68340076816112,18.293118498895684
3.7,6.971010365561382e-05,18.785333885634888,18.39300653475925
3.8,6.985940393729165e-05,18.878317851623756,18.482193190545296
3.9,6.992571480141972e-05,18.962159016998463,18.560412502573914
4.0,6.993671365065615e-05,19.036555644636973,18.62727029630156
4.1,6.991764004337968e-05,19.10115466893479,18.682314048824363
4.2,6.98890980913711e-05,19.155639982011877,18.725141249410992
4.3,6.98637552294063e-05,19.19986447567792,18.7555619464175
4.4,6.98418218238586e-05,19.234037005699083,18.77383031930114
