Frequency_Hz,S11_dB,S21_dB
1000000000.0,-16.394310680219526,-4.2585733673842565
1096666666.6666667,-17.26538426900959,-4.369646153343813
1193333333.3333333,-18.691864057342357,-4.458310829146221
1290000000.0,-19.41535953573826,-4.458231511281092
1386666666.6666667,-20.76182762401772,-4.539187355113162
1483333333.3333335,-21.038295901537488,-4.437522378113027
1580000000.0,-21.090361256320836,-4.488859669730108
1676666666.6666667,-20.586788893786498,-4.310762355753772
1773333333.3333335,-19.263006417483478,-4.312176989480517
1870000000.0,-18.314682312313213,-4.092088865800745
1966666666.6666667,-16.829589747060986,-4.032535457009284
2063333333.3333335,-15.799132394967279,-3.8086730742114776
2160000000.0,-14.643982186941164,-3.69351492193182
2256666666.666667,-13.677892978572226,-3.5036669349961764
2353333333.3333335,-12.88762946917088,-3.3580613574743716
2450000000.0,-12.074527184136539,-3.2356312652402353
2546666666.666667,-11.598243405692045,-3.100210402215282
2643333333.3333335,-11.013858532112774,-3.067779512285898
2740000000.0,-10.800273923229394,-2.9850987185477273
2836666666.666667,-10.500989522421108,-3.045441606928097
2933333333.3333335,-10.505237954541462,-3.0423090227791083
3030000000.0,-10.516474823651771,-3.1738512589622117
3126666666.666667,-10.699321284985732,-3.251237251764685
3223333333.3333335,-11.01724321306663,-3.4150816662613224
3320000000.0,-11.354521741026511,-3.5516200603317616
3416666666.666667,-11.961097913278557,-3.707038503661458
3513333333.3333335,-12.460113708351727,-3.869950518120968
3610000000.0,-13.342521063819836,-3.9873912539786316
3706666666.666667,-14.06024486358577,-4.141990436654107
3803333333.3333335,-15.229747540081211,-4.207466071139479
3900000000.0,-16.298778012815564,-4.322979108178004
3996666666.666667,-17.806280392359643,-4.335486359873144
4093333333.3333335,-19.471533424179764,-4.388727987679077
4190000000.0,-21.32344890459062,-4.354978037504661
4286666666.666667,-23.620678220037806,-4.333508563598484
4383333333.333334,-24.457514028974824,-4.26326711266245
4480000000.0,-24.08125472229699,-4.168035948609927
4576666666.666667,-21.94228055518959,-4.0719762394758865
4673333333.333334,-19.605955639782376,-3.918901838044499
4770000000.0,-17.772021907945817,-3.8091685179194235
4866666666.666667,-15.923781521638304,-3.6285090262826705
4963333333.333334,-14.654978643891376,-3.5206205835412825
5060000000.0,-13.372325565848588,-3.3527937764812736
5156666666.666667,-12.49357620344999,-3.265724185734768
5253333333.333334,-11.683614484601284,-3.1518740426697853
5350000000.0,-11.11646356068556,-3.103343355281311
5446666666.666667,-10.717671969347997,-3.0715671926851384
5543333333.333334,-10.436200245076211,-3.0697555928217697
5640000000.0,-10.402725655915532,-3.1232466961674987
5736666666.666667,-10.400554758788914,-3.1617058549679338
5833333333.333334,-10.693451196081124,-3.277416262882387
5930000000.0,-10.978641763490003,-3.338506733049096
6026666666.666667,-11.577075252524264,-3.4774563699249805
6123333333.333334,-12.18754642523892,-3.540958735196692
6220000000.0,-13.115797963354323,-3.6625655095648906
6316666666.666667,-14.154648401388215,-3.7122066762931185
6413333333.333334,-15.534410601774756,-3.785163358003279
6510000000.0,-17.25146863288554,-3.8104388526874007
6606666666.666667,-19.419690677091754,-3.818374439555112
6703333333.333334,-22.308489427972265,-3.8140669263063343
6800000000.0,-25.178854652297563,-3.757465061065224
6896666666.666667,-25.236320504960958,-3.723752416731325
6993333333.333334,-22.24023865291106,-3.6196156229819243
7090000000.0,-19.022314635732002,-3.5638565082207316
7186666666.666667,-16.59251479803845,-3.4432580831235438
7283333333.333334,-14.62845778735634,-3.3817871871800254
7380000000.0,-13.08837133458036,-3.2839773718956455
7476666666.666667,-11.908718813737098,-3.2401808419642695
7573333333.333334,-10.941340266296983,-3.201288281486158
7670000000.0,-10.304677460340477,-3.196945279214043
7766666666.666667,-9.789294387430878,-3.2347780568948012
7863333333.333334,-9.588562766931009,-3.277993019933479
7960000000.0,-9.477740031770253,-3.381549609620655
8056666666.666667,-9.658185972000425,-3.4608816845495953
8153333333.333334,-9.94048543731193,-3.593706182093123
8250000000.0,-10.489348357449224,-3.683606159775029
8346666666.666667,-11.201721039702331,-3.799005283464647
8443333333.333334,-12.177194511791534,-3.87021642331868
8540000000.0,-13.450856818259215,-3.9276526086455648
8636666666.666668,-15.032790641009022,-3.9551927906897877
8733333333.333334,-17.09284625414012,-3.9315940593825993
8830000000.0,-19.1781371847576,-3.900541808196346
8926666666.666668,-20.224766211636922,-3.79851267400303
9023333333.333334,-18.571226074913348,-3.7138909346973312
9120000000.0,-15.83308361002934,-3.572993205624746
9216666666.666668,-13.258643700464198,-3.4794824064713703
9313333333.333334,-11.20156559239949,-3.3930312344853837
9410000000.0,-9.549608507542448,-3.396614163203971
9506666666.666668,-8.403233887377379,-3.510771941358295
9603333333.333334,-7.59815071422583,-3.753876935127494
9700000000.0,-7.258847061486415,-4.189176095366635
9796666666.666668,-7.2204721733686625,-4.737484146394812
9893333333.333334,-7.546950499306556,-5.469828241706306
9990000000.0,-8.110123345094536,-6.24776773687169
10086666666.666668,-8.862309118403854,-7.135786830415669
10183333333.333334,-9.748931759505187,-8.023167346535269
10280000000.0,-10.535256308099756,-8.936063372582018
10376666666.666668,-11.177842008942708,-9.857553744827644
10473333333.333334,-11.309707851141638,-10.72956481365069
10570000000.0,-10.980235280828857,-11.655991197667774
10666666666.666668,-10.215750586550499,-12.477275939764816
