run,score,f3db_GHz,S21_20GHz_dB,worst_passband_S21_dB,passband_ripple_dB,worst_passband_S11_dB,h_thin_mm,h_thick_mm,L1_mm,L2_mm,L3_mm,L4_mm,L5_mm,L6_mm,L7_mm
0,120.46744863230866,1.0,-67.85853324172768,-2.9962756818420955,1.5645577196067775,-8.643045216115368,0.3,0.8,7.042857142857144,7.042857142857144,7.042857142857144,7.042857142857144,7.042857142857144,7.042857142857144,7.042857142857144
1,139.70762451410837,1.0,-57.79823324598978,-2.9218566308273153,2.9218114201726073,-9.35941551245519,0.2131862636362613,0.6937820267029878,8.470928798552144,7.6102744212104145,4.404869930099992,8.327853700274899,4.404869930099992,7.6102744212104145,8.470928798552144
2,120.37405401593004,1.0,-64.30795003622578,-2.9345457819968774,1.380038283587385,-8.058751461229107,0.3007931393695277,1.029723195830853,5.831347909098714,6.583935719206061,7.233929207360092,10.00157432867027,7.233929207360092,6.583935719206061,5.831347909098714
3,146.98059358458482,1.0,-58.21392640815183,-2.8692052706910784,6.182199404704954,-5.018420313065853,0.23412067168066564,1.1678274145519278,5.720602172225655,8.000641602507477,8.439315214486266,4.978882021561212,8.439315214486266,8.000641602507477,5.720602172225655
4,124.5199848036953,1.0,-63.16744133295813,-2.983708714486032,2.4301405070353974,-6.2588397828056666,0.23226866447385064,0.6763974508826878,7.399818072027319,5.778233676359415,8.35117856834527,6.241539366535989,8.35117856834527,5.778233676359415,7.399818072027319
5,139.52761874877015,1.0,-63.084062890442034,-2.9209918603448664,8.478405033716696,-3.0341506203875896,0.24990230495052745,0.9239624704238927,5.223522532327373,5.068972572476109,10.355557723389994,8.003894343613046,10.355557723389994,5.068972572476109,5.223522532327373
6,121.1870533166836,1.0,-62.41313225997708,-2.938263030378256,1.4328468789044995,-7.369955593016665,0.2768775021171531,0.9182489043244794,4.264525093753687,7.866092486430294,8.063256401528555,8.912252036574927,8.063256401528555,7.866092486430294,4.264525093753687
7,132.55873941950546,1.0,-62.194746163310114,-2.8571115262751343,6.129444298006445,-4.9857068078831,0.23053687856555496,1.194361795332232,6.597006527852966,6.15993974947065,7.870885353964554,8.04433673742366,7.870885353964554,6.15993974947065,6.597006527852966
8,133.04807387369343,1.0,-65.77075005372409,-3.0609598565919853,6.257003245136028,-5.770731899538564,0.3976482872929449,0.9346569860323863,8.266974018660122,4.915094109387488,9.345453886171029,4.244955971562718,9.345453886171029,4.915094109387488,8.266974018660122
9,120.048657429822,1.0,-63.05742296159954,-2.930251302840308,1.7096105939529074,-9.021820272285348,0.22143762599606798,0.7582063457424197,6.976793268058432,4.758407786301022,7.631616143943035,10.566365603395012,7.631616143943035,4.758407786301022,6.976793268058432
10,128.1743342702929,1.0,-67.44343342433153,-2.9368212170304098,4.57681743410725,-6.663406683073654,0.25695081551189547,0.9456194447119496,8.876583041086517,4.6316271087743015,8.224539038825029,5.834501622628305,8.224539038825029,4.6316271087743015,8.876583041086517
11,123.79003871368577,1.0,-67.3513174499939,-2.9580506868105894,2.086438295034926,-6.173091310437014,0.21205395036921293,0.6470836284008535,5.683358586557639,6.985669522348197,8.49191903136331,6.978105719461702,8.49191903136331,6.985669522348197,5.683358586557639
12,125.52855764485133,1.0,-61.566439291882034,-2.971227568241538,2.724529443511587,-5.776639083379532,0.28478790602312415,0.9120194317042136,4.73829172459442,6.870318935811923,8.5845805474054,8.913617584376514,8.5845805474054,6.870318935811923,4.73829172459442
13,119.55593083409924,1.0,-60.08802883275977,-2.9850987185477273,1.5540886365654347,-9.477740031770253,0.286719276629686,0.7634916627220536,4.0736569145948875,7.532386607086223,8.071012080327467,9.94588879598284,8.071012080327467,7.532386607086223,4.0736569145948875
14,120.51370504558673,1.0,-62.770404203084105,-2.9980016341003646,1.9099707482656276,-9.29624462144635,0.34879967751847285,1.0577986058572477,8.520616711053977,9.180126474427846,4.53925268807573,4.820008252884892,4.53925268807573,9.180126474427846,8.520616711053977
15,120.62874309395951,1.0,-67.21121335278579,-2.9123640594574907,2.2226097112972374,-9.378296625922415,0.2295561441274172,0.8297705754318145,7.435741946474994,7.738222898493488,5.456599039660409,8.038872230742218,5.456599039660409,7.738222898493488,7.435741946474994
16,137.6875853096704,1.0,-57.728925999161575,-3.054431460635951,1.6234179998916316,-10.108757957139332,0.3718678749803016,0.822039781104299,6.322250808742315,9.091025223167081,5.345875285763585,7.781697364654023,5.345875285763585,9.091025223167081,6.322250808742315
17,136.76469326110185,1.0,-71.1422598652465,-3.04887199769872,7.5842431538915935,-4.648153035174955,0.34995279680216107,0.8002750432322685,7.687619408799918,4.418980633349043,9.92663235774725,5.233535200207573,9.92663235774725,4.418980633349043,7.687619408799918
18,142.22891143563226,1.0,-57.19128143168754,-3.100866404293111,1.6274154338335238,-10.067355288647995,0.3840647218906226,0.7513484316528652,6.513052535135726,9.024228712626426,5.878037415432264,6.469362673611168,5.878037415432264,9.024228712626426,6.513052535135726
19,121.87636906600977,1.0,-74.53742845162219,-2.959550803776558,1.6285687669707145,-7.178522486814445,0.2051736020238316,0.6577484577055612,6.705005125134219,5.677852362070725,7.931091676186552,8.672101673216998,7.931091676186552,5.677852362070725,6.705005125134219
