Frequency_Hz,S11_dB,S21_dB
1000000000.0,-16.99028113878791,-4.112571377920259
1096666666.6666667,-18.030644455869933,-4.1583287268261735
1193333333.3333333,-19.710915657304977,-4.249182851932625
1290000000.0,-20.865371567908937,-4.230977441595175
1386666666.6666667,-22.60462945293719,-4.271583313296593
1483333333.3333335,-22.954380219774638,-4.188123392189682
1580000000.0,-23.01222020527336,-4.175958548580192
1676666666.6666667,-21.545964055080336,-4.034050379860579
1773333333.3333335,-20.06300520108018,-3.9749632350026975
1870000000.0,-18.340619623794147,-3.789892542843576
1966666666.6666667,-16.866528873986987,-3.6991763994847524
2063333333.3333335,-15.490100113166553,-3.4955715304123105
2160000000.0,-14.327449702049824,-3.3987521729056667
2256666666.666667,-13.298795618575829,-3.209962138592413
2353333333.3333335,-12.447230411993807,-3.140267170791195
2450000000.0,-11.733214092997912,-3.00292157329652
2546666666.666667,-11.175461954619944,-2.9924900752000987
2643333333.3333335,-10.759287601016448,-2.9345457819968774
2740000000.0,-10.480679102431061,-3.0006636934232453
2836666666.666667,-10.34547937776772,-3.0284274715847626
2933333333.3333335,-10.323887604678802,-3.1639539158902603
3030000000.0,-10.444097700922093,-3.25870824412156
3126666666.666667,-10.651248594168276,-3.4355716482212886
3223333333.3333335,-11.000725089704385,-3.5632792641466047
3320000000.0,-11.416059803959797,-3.745490441759328
3416666666.666667,-11.984772834026066,-3.870553511233453
3513333333.3333335,-12.612521840410139,-4.026069953391978
3610000000.0,-13.425353962675464,-4.120156806049366
3706666666.666667,-14.313882893597608,-4.226243175127244
3803333333.3333335,-15.45891002792505,-4.270811570769699
3900000000.0,-16.735647877627258,-4.314584065584262
3996666666.666667,-18.43005551993216,-4.300463689749198
4093333333.3333335,-20.36764332302258,-4.27809615995557
4190000000.0,-23.04424164483105,-4.204666189772052
4286666666.666667,-25.444924113239885,-4.121131991442374
4383333333.333334,-26.56653217296651,-3.996728783296532
4480000000.0,-23.746882889560688,-3.866706899462218
4576666666.666667,-20.92748713117,-3.709965082766579
4673333333.333334,-18.22475938060826,-3.559241620757119
4770000000.0,-16.233305847671424,-3.3999813765223235
4866666666.666667,-14.492326875638476,-3.2647573907464262
4963333333.333334,-13.178638168444763,-3.140739202773004
5060000000.0,-12.048694005102774,-3.060586024537453
5156666666.666667,-11.221223257653449,-3.006454128862292
5253333333.333334,-10.548419742166589,-3.0093368980837183
5350000000.0,-10.115854458418749,-3.0400810606608863
5446666666.666667,-9.819696901201283,-3.1274261951093174
5543333333.333334,-9.722232501273282,-3.229013186225582
5640000000.0,-9.743856506887306,-3.374345045465298
5736666666.666667,-9.93597933022335,-3.5109692059497277
5833333333.333334,-10.235580700397781,-3.673572758108704
5930000000.0,-10.697757316705236,-3.8041336479372228
6026666666.666667,-11.271900806366759,-3.9448779010196846
6123333333.333334,-12.034574152713478,-4.035619875418355
6220000000.0,-12.946717338985499,-4.125582616720813
6316666666.666667,-14.139366026167624,-4.154771530241259
6413333333.333334,-15.60132314705595,-4.17740734950366
6510000000.0,-17.622732983376675,-4.135880586847879
6606666666.666667,-20.358520646402237,-4.087343984740599
6703333333.333334,-24.96535545008077,-3.9790656670253197
6800000000.0,-33.29693303785416,-3.8699092785030316
6896666666.666667,-28.646535494309685,-3.714649055364671
6993333333.333334,-21.7466684415257,-3.5735508939794998
7090000000.0,-17.69735347894981,-3.410706426045349
7186666666.666667,-14.949955977529658,-3.2868710213944743
7283333333.333334,-12.861762656600087,-3.1738469195309498
7380000000.0,-11.303769684236718,-3.1283377190857946
7476666666.666667,-10.09179540731435,-3.122251480125004
7573333333.333334,-9.221132563135749,-3.199546633970251
7670000000.0,-8.600356931379958,-3.3227780653500076
7766666666.666667,-8.23336303466521,-3.5185484571280403
7863333333.333334,-8.058751461229107,-3.7392522323462156
7960000000.0,-8.07700620099483,-4.000310131618302
8056666666.666667,-8.245904173034702,-4.251895870439846
8153333333.333334,-8.571430167012062,-4.507745755819178
8250000000.0,-9.030681867457096,-4.722408296914942
8346666666.666667,-9.646906982867238,-4.912373815294774
8443333333.333334,-10.42061696377676,-5.038199622393914
8540000000.0,-11.412575841545996,-5.119082228438462
8636666666.666668,-12.671629815511507,-5.1211362840825005
8733333333.333334,-14.366975795382086,-5.065542140641369
8830000000.0,-16.752654604970907,-4.924594517277523
8926666666.666668,-20.62835666246967,-4.7236013346355135
9023333333.333334,-29.23993201793317,-4.44620464373406
9120000000.0,-28.823577984702652,-4.132229898714961
9216666666.666668,-19.10062757998528,-3.7927117361618907
9313333333.333334,-14.233386113091255,-3.506425806549776
9410000000.0,-11.062255475020912,-3.3331317448097035
9506666666.666668,-8.894648099472418,-3.3914488170175665
9603333333.333334,-7.497473025949341,-3.7284331010440486
9700000000.0,-6.754900335510495,-4.380875905322226
9796666666.666668,-6.48685991030923,-5.259186168349168
9893333333.333334,-6.593011825593603,-6.3049770005760415
9990000000.0,-6.891230664263038,-7.392219768876166
10086666666.666668,-7.355644972159214,-8.503280529871319
10183333333.333334,-7.845515890934836,-9.548986997972753
10280000000.0,-8.400052802262696,-10.567373733984626
10376666666.666668,-8.88582420347669,-11.4831796944718
10473333333.333334,-9.37307605912661,-12.36768451423557
10570000000.0,-9.711924832122437,-13.138593485692379
10666666666.666668,-9.992353337108907,-13.889557187973828
10763333333.333334,-10.055782916171854,-14.523324563210842
10860000000.0,-10.02247489012554,-15.151936365488012
10956666666.666668,-9.75573635489129,-15.66164144928443
11053333333.333334,-9.408899995715245,-16.18068751904209
11150000000.0,-8.877849961310298,-16.580081860745715
11246666666.666668,-8.319709123385122,-17.00207736391937
11343333333.333334,-7.6471063816147495,-17.30507793119815
11440000000.0,-6.993852476948645,-17.64290427342396
11536666666.666668,-6.279556001675309,-17.86467187301352
11633333333.333334,-5.610532479741165,-18.133538846400267
11730000000.0,-4.913816990325303,-18.292571407817082
11826666666.666668,-4.27442095153139,-18.51268867028842
11923333333.333334,-3.6288421563316478,-18.633701467768752
12020000000.0,-3.0473456964415875,-18.833765868204225
12116666666.666668,-2.4766279638251336,-18.951200200482276
12213333333.333334,-1.9769627712978,-19.17201825964455
12310000000.0,-1.5046768922120366,-19.3330859713763
12406666666.666668,-1.113205486491987,-19.629316083924667
12503333333.333334,-0.7667284015752929,-19.89356181999395
12600000000.0,-0.513543810778234,-20.32995604981203
12696666666.666668,-0.32259091926985733,-20.761062412108604
12793333333.333334,-0.237331423560162,-21.399117655624664
12890000000.0,-0.22725459301554096,-22.046829011359947
12986666666.666668,-0.3307970795279368,-22.923980121086572
13083333333.333334,-0.5140381929817305,-23.803711560169603
13180000000.0,-0.8116205624631598,-24.9179963718623
13276666666.666668,-1.1842524171787607,-26.003363761858385
13373333333.333334,-1.6666785156714377,-27.31724421538147
13470000000.0,-2.2142211683600017,-28.55218435238804
13566666666.666668,-2.867249909057988,-30.01283938729162
13663333333.333334,-3.575657488628381,-31.331820708202166
13760000000.0,-4.390904927065503,-32.89266543854498
13856666666.666668,-5.255608259413159,-34.23420356843798
13953333333.333334,-6.237253077406399,-35.86750030420686
14050000000.0,-7.266329888621376,-37.17585439600948
14146666666.666668,-8.430281054415758,-38.87827854976255
14243333333.333334,-9.635368210339285,-40.0978401124927
14340000000.0,-10.985635775487717,-41.89329342538515
14436666666.666668,-12.324713451114702,-42.958725851401695
14533333333.333334,-13.72899994019874,-44.90205140471006
14630000000.0,-14.869336313397618,-45.72641839801149
14726666666.666668,-15.700475253222272,-47.91227071173183
14823333333.333334,-15.809895093646313,-48.37425224225437
14920000000.0,-15.402421203297077,-50.94602519158404
15016666666.666668,-14.525600381739958,-50.877022592629466
15113333333.333334,-13.551233377763337,-54.044388412361144
15210000000.0,-12.516772824718615,-53.211122802017634
15306666666.666668,-11.579329925175497,-57.27326710740654
15403333333.333334,-10.684922445308835,-55.36005877194696
15500000000.0,-9.907624399950283,-60.73824406911329
15596666666.666668,-9.17467023603271,-57.312610139966694
15693333333.333334,-8.545168058063755,-64.62089854600652
15790000000.0,-7.944306646295156,-59.07363266682524
15886666666.666668,-7.432211555922956,-69.27957934059737
15983333333.333334,-6.9337625652345185,-60.65171787740462
16080000000.0,-6.512781475204984,-75.37533435707381
16176666666.666668,-6.093873054592814,-62.062859712930475
16273333333.333334,-5.743952206328553,-80.81116177465478
16370000000.0,-5.387815626337295,-63.31981824908568
16466666666.666668,-5.093922467273745,-77.078984810678
16563333333.333334,-4.7882779159523325,-64.4331972661102
16660000000.0,-4.539024066679069,-73.54351192665844
16756666666.666668,-4.274781385221868,-65.3989820384039
16853333333.333334,-4.0613904877042355,-71.38729609948021
16950000000.0,-3.8317200876813597,-66.21181876372292
17046666666.666668,-3.647289311671697,-69.98517719974375
17143333333.333334,-3.4469728995405853,-66.85932933796238
17240000000.0,-3.2859981109151546,-69.01245426972658
17336666666.666668,-3.1109907275018704,-67.33068867818703
17433333333.333336,-2.969022147922445,-68.31598064887389
17530000000.0,-2.8161196326189413,-67.6299830061092
17626666666.666668,-2.6895369123052504,-67.78935520788197
17723333333.333336,-2.5561516784760734,-67.76776734841215
17820000000.0,-2.4420074358820454,-67.38277380942714
17916666666.666668,-2.325983549905051,-67.75864809107463
18013333333.333336,-2.221893391602881,-67.05224995855818
18110000000.0,-2.1213794868069957,-67.63990284854663
18206666666.666668,-2.0254403303629767,-66.76971784644151
18303333333.333336,-1.9387886363705853,-67.43482052114206
18400000000.0,-1.8495229411143637,-66.51938321279574
18496666666.666668,-1.7752099319033001,-67.1673489495711
18593333333.333336,-1.6915201703617266,-66.28267961833893
18690000000.0,-1.6280869984307147,-66.85892613460341
18786666666.666668,-1.5492146024439983,-66.05023203443346
18883333333.333336,-1.4952314216273566,-66.52603769980071
18980000000.0,-1.4207187623454627,-65.8144863727033
19076666666.666668,-1.3747611668750732,-66.17526976979414
19173333333.333336,-1.3044174845498513,-65.56692349186781
19270000000.0,-1.265051827082663,-65.81271198156871
19366666666.666668,-1.1989041884286815,-65.30583653838396
19463333333.333336,-1.164700592861133,-65.4437130972926
19560000000.0,-1.102955346778883,-65.0261200917967
19656666666.666668,-1.0724979744007714,-65.07087245570263
19753333333.333336,-1.0154844279026962,-64.72866886356218
