objective,feasible,a_mm,b_mm,d_mm,ring_spacing_mm,section_pitch_mm,n_sections,passband_worst_loss_1_9_dB,cutoff_3dB_GHz,s21_10GHz_dB,s21_20GHz_dB,max_s21_12_20_dB,max_s21_20_100_dB,max_s21_20_100_frequency_Hz,wall_time_s
10755646.36051585,False,4.3448,4.55551,4.53008,5.07785,11.30646,4,10.556463605158495,6.148,-14.854162143079556,-27.63389278756915,-27.994976740166578,-20.175288750471992,24562000000.0,300.96076339999945
10799924.52397793,False,4.0,5.0,4.9,5.0,12.0,4,10.999245239779295,5.554,-21.538598027810615,-19.512458290502757,-15.297181803901923,-13.90017576589175,23374000000.0,304.0777830999996
10935958.530665552,False,4.40334,4.9858,5.068,5.27863,12.23383,4,12.359585306655514,5.554,-15.568709670702333,-21.1594346721926,-21.259790352001147,-15.207546581482541,23176000000.0,273.92854480000005
10948793.385829795,False,4.38334,4.6383,5.01587,4.42989,12.3641,4,12.487933858297959,5.554,-18.26321192621296,-22.170975873038948,-23.1052576902476,-16.408728207939326,23374000000.0,377.00312049999957
10955585.80790277,False,4.29861,4.48705,4.52919,5.09314,11.25266,4,12.555858079027706,5.554,-20.310051496164366,-33.8232146661941,-24.9269792534944,-13.397289117177033,24166000000.0,305.5158574999987
10964707.769598532,False,4.31807,4.59571,4.4563,4.98229,11.40745,4,12.64707769598532,5.554,-25.799821645142387,-29.749658870407192,-27.320280733395663,-13.271667393068649,24166000000.0,247.96250390000023
10968989.535314577,False,4.41315,4.52014,4.5321,5.0787,11.4411,4,12.689895353145763,5.554,-23.568784460667477,-28.44239260498892,-26.32314025602313,-13.189131413081315,23968000000.0,273.1019204000004
10990482.092844015,False,4.35155,4.50304,4.60862,5.13747,11.3831,4,12.904820928440142,5.554,-23.024738187562896,-33.580679046779764,-23.207330623278505,-12.822347365762552,23968000000.0,273.9564011000002
10993260.603802629,False,4.27019,4.65341,4.65032,5.14722,11.56294,4,12.932606038026279,5.554,-26.54858633026564,-27.200020067478658,-26.146853152816554,-12.80113531605414,23770000000.0,247.0893018000006
11002010.471610773,False,4.24073,4.84635,4.97837,5.18988,11.95439,4,13.02010471610773,5.554,-29.448375002146893,-21.76787459069757,-22.616785922716204,-13.51355897698405,23374000000.0,275.3869812999992
11007963.460020594,False,3.96057,5.46594,5.25418,5.36402,11.24909,4,13.079634600205951,5.554,-22.00723473478007,-18.90849574935638,-15.177468847385514,-15.312208027799814,24166000000.0,392.08208529999956
11010035.021562725,False,4.05198,5.04177,5.16096,5.19157,11.30373,4,13.100350215627252,5.752,-24.326148542308005,-20.223737595880902,-16.919761933622837,-13.732847502394048,23968000000.0,262.3954620000004
11054490.946146954,False,4.35754,4.57819,4.63803,5.08999,11.29163,4,13.544909461469533,5.752,-19.4924258001916,-28.777557824273146,-27.544421959811544,-14.304157943960485,24166000000.0,238.56632159999936
11088269.864377467,False,4.00429,4.90971,4.88458,4.56309,12.57664,4,13.882698643774674,5.356,-20.506118338895682,-19.88256335416363,-20.53415098633586,-15.448342795869587,22978000000.0,274.59052900000006
11173553.157417303,False,4.22708,4.5874,4.728,5.11168,12.33684,4,14.735531574173034,5.554,-19.914936019709586,-31.72223482208905,-21.057088792706836,-13.930779134829434,23176000000.0,276.5015535000002
11243803.767180601,False,4.23622,5.18093,4.7049,5.08614,12.42324,4,15.438037671806004,5.554,-17.724121543806127,-21.937349824326276,-18.412008600302265,-15.17802399768166,22978000000.0,269.07338730000083
11323027.147581182,False,4.27803,4.86215,4.82801,4.50954,12.92777,4,16.230271475811833,5.356,-19.87797104350387,-18.787003038603775,-19.97843568354493,-15.967234310403853,22582000000.0,275.7648927
