frequency_hz,s11_db,s21_db
1.000000000000000000e+07,-5.851072846696305874e+01,-6.119441262799877969e-06
1.699900000000000000e+07,-5.390243466127644467e+01,-1.768242111567377314e-05
2.399800000000000000e+07,-5.090766487490981973e+01,-3.523867625637305416e-05
3.099700000000000000e+07,-4.868512634979005327e+01,-5.878609547009256141e-05
3.799600000000000000e+07,-4.691720584403259409e+01,-8.832184709527635352e-05
4.499500000000000000e+07,-4.544921215895836042e+01,-1.238423793808590689e-04
5.199400000000000000e+07,-4.419405659570563216e+01,-1.653434209315072395e-04
5.899300000000000000e+07,-4.309782551677821516e+01,-2.128199812428083573e-04
6.599200000000000000e+07,-4.212481337401206360e+01,-2.662663513302882955e-04
7.299100000000000000e+07,-4.125014700390295985e+01,-3.256761044436050812e-04
7.999000000000000000e+07,-4.045580350222635957e+01,-3.910420968727000481e-04
8.698900000000000000e+07,-3.972830490680183146e+01,-4.623564688478700086e-04
9.398800000000000000e+07,-3.905730782640523557e+01,-5.396106455222268641e-04
1.009870000000000000e+08,-3.843470097709830924e+01,-6.227953380491234054e-04
1.079860000000000000e+08,-3.785400580579536722e+01,-7.119005447507342245e-04
1.149850000000000000e+08,-3.730996570382318822e+01,-8.069155523643395519e-04
1.219840000000000000e+08,-3.679825680027115453e+01,-9.078289373933698045e-04
1.289830000000000000e+08,-3.631527955739451841e+01,-1.014628567538193799e-03
1.359820000000000000e+08,-3.585800550519667240e+01,-1.127301603212494535e-03
1.429810000000000000e+08,-3.542386248519834879e+01,-1.245834499158805569e-03
1.499800000000000000e+08,-3.501064734598362094e+01,-1.370213006141088839e-03
1.569790000000000000e+08,-3.461645856866670101e+01,-1.500422172729857064e-03
1.639780000000000000e+08,-3.423964360026795362e+01,-1.636446347180885554e-03
1.709770000000000000e+08,-3.387875720280949565e+01,-1.778269179384438367e-03
1.779760000000000000e+08,-3.353252816385989377e+01,-1.925873622920781184e-03
1.849750000000000000e+08,-3.319983243182663557e+01,-2.079241937189274005e-03
1.919740000000000000e+08,-3.287967124315987633e+01,-2.238355689628488028e-03
1.989730000000000000e+08,-3.257115316813912642e+01,-2.403195758019733251e-03
2.059720000000000000e+08,-3.227347926186849492e+01,-2.573742332882763412e-03
2.129710000000000000e+08,-3.198593069753341567e+01,-2.749974919944467907e-03
2.199700000000000000e+08,-3.170785840001163081e+01,-2.931872342703809205e-03
2.269690000000000000e+08,-3.143867430371530602e+01,-3.119412745075741782e-03
2.339680000000000000e+08,-3.117784393853998992e+01,-3.312573594120005009e-03
2.409670000000000000e+08,-3.092488010891359806e+01,-3.511331682852984575e-03
2.479660000000000000e+08,-3.067933747808490352e+01,-3.715663133140812736e-03
2.549650000000000000e+08,-3.044080790639601730e+01,-3.925543398679621522e-03
2.619640000000000000e+08,-3.020891642098736085e+01,-4.140947268053419596e-03
2.689630000000000000e+08,-2.998331771699282555e+01,-4.361848867878395652e-03
2.759620000000000000e+08,-2.976369310829456793e+01,-4.588221666017375765e-03
2.829610000000000000e+08,-2.954974786021964661e+01,-4.820038474893504309e-03
2.899600000000000000e+08,-2.934120884821308550e+01,-5.057271454862753701e-03
2.969590000000000000e+08,-2.913782249577902306e+01,-5.299892117683999322e-03
3.039580000000000000e+08,-2.893935295267618102e+01,-5.547871330055905575e-03
3.109570000000000000e+08,-2.874558048052680448e+01,-5.801179317238138594e-03
3.179560000000000000e+08,-2.855630001813268137e+01,-6.059785666748362942e-03
3.249550000000000000e+08,-2.837131990302179219e+01,-6.323659332136110853e-03
3.319540000000000000e+08,-2.819046072923365287e+01,-6.592768636839491450e-03
3.389530000000000000e+08,-2.801355432429927106e+01,-6.867081278104585074e-03
3.459520000000000000e+08,-2.784044283078102211e+01,-7.146564330992787213e-03
3.529510000000000000e+08,-2.767097787980698698e+01,-7.431184252461763701e-03
3.599500000000000000e+08,-2.750501984577415726e+01,-7.720906885508595739e-03
3.669490000000000000e+08,-2.734243717281126607e+01,-8.015697463406142032e-03
3.739480000000000000e+08,-2.718310576489636787e+01,-8.315520613993215501e-03
3.809470000000000000e+08,-2.702690843252139175e+01,-8.620340364049607074e-03
3.879460000000000000e+08,-2.687373438973816775e+01,-8.930120143737780083e-03
3.949450000000000000e+08,-2.672347879617768740e+01,-9.244822791113323918e-03
4.019440000000000000e+08,-2.657604233929591331e+01,-9.564410556713982825e-03
4.089430000000000000e+08,-2.643133085269144544e+01,-9.888845108207153581e-03
4.159420000000000000e+08,-2.628925496680760432e+01,-1.021808753511241341e-02
4.229410000000000000e+08,-2.614972978878311594e+01,-1.055209835359637721e-02
4.299400000000000000e+08,-2.601267460858439406e+01,-1.089083751132357940e-02
4.369390000000000000e+08,-2.587801262886204512e+01,-1.123426439238487187e-02
4.439380000000000000e+08,-2.574567071628102255e+01,-1.158233782228411217e-02
4.509370000000000000e+08,-2.561557917229848869e+01,-1.193501607299494657e-02
4.579360000000000000e+08,-2.548767152159992833e+01,-1.229225686807915684e-02
4.649350000000000000e+08,-2.536188431658038311e+01,-1.265401738787156477e-02
4.719340000000000000e+08,-2.523815695643826018e+01,-1.302025427472005593e-02
4.789330000000000000e+08,-2.511643151958249476e+01,-1.339092363830219831e-02
4.859320000000000000e+08,-2.499665260820415114e+01,-1.376598106098475202e-02
4.929310000000000000e+08,-2.487876720395885854e+01,-1.414538160326106117e-02
4.999300000000000000e+08,-2.476272453382808791e+01,-1.452907980923653225e-02
5.069290000000000000e+08,-2.464847594530517583e+01,-1.491702971217592419e-02
5.139280000000000000e+08,-2.453597479014003824e+01,-1.530918484011255763e-02
5.209270000000000000e+08,-2.442517631594923699e+01,-1.570549822150810876e-02
5.279260000000000000e+08,-2.431603756505938208e+01,-1.610592239097662082e-02
5.349250000000000000e+08,-2.420851728001382241e+01,-1.651040939505743835e-02
5.419240000000000000e+08,-2.410257581522363779e+01,-1.691891079804311998e-02
5.489230000000000000e+08,-2.399817505428605813e+01,-1.733137768786913863e-02
5.559220000000000000e+08,-2.389527833254455658e+01,-1.774776068204437021e-02
5.629210000000000000e+08,-2.379385036449168922e+01,-1.816800993364862254e-02
5.699200000000000000e+08,-2.369385717566207106e+01,-1.859207513736542416e-02
5.769190000000000000e+08,-2.359526603867936956e+01,-1.901990553557931021e-02
5.839180000000000000e+08,-2.349804541316427375e+01,-1.945144992450966587e-02
5.909170000000000000e+08,-2.340216488921880611e+01,-1.988665666041039212e-02
5.979160000000000000e+08,-2.330759513424407459e+01,-2.032547366579869411e-02
6.049150000000000000e+08,-2.321430784285013260e+01,-2.076784843574324899e-02
6.119140000000000000e+08,-2.312227568964912194e+01,-2.121372804419637687e-02
6.189130000000000000e+08,-2.303147228473528685e+01,-2.166305915036553092e-02
6.259120000000000000e+08,-2.294187213166656392e+01,-2.211578800513886237e-02
6.329110000000000000e+08,-2.285345058778549543e+01,-2.257186045754652065e-02
6.399100000000000000e+08,-2.276618382672233309e+01,-2.303122196126761168e-02
